bibid, feature, label, label_name, is_labeled
1017104,"การวิเคราะห์สิ่งแวดล้อมเชิงบูรณาการโดยใช้ตัวชี้วัดสิ่งแวดล้อมการวิเคราะห์สิ่งแวดล้อม ตัวชี้วัดสิ่งแวดล้อม การใช้ประโยชน์ที่ดิน การเปลี่ยนแปลงอุณหภูมิพื้นผิว คุณสมบัติของดิน,integrated environmental assessment, mangrove forest, soil organic carbon, land use, socio economic",1,วิทยาศาสตร์ธรรมชาติ,1
1032728,"โครงการพัฒนาต้นแบบแพลตฟอร์มภูมิสารสนเทศและดาวเทียม เพื่อการบริหารจัด PM 2.5 และอนุภาคในชั้นบรรยากาศแบบองค์รวมฝุ่นละออง,อนุภาคในชั้นบรรยากาศ,ผลกระทบสิ่งแวดล้อม,อนุภาคในชั้นบรรยากาศแบบองค์รวม,PM2.5,Particles in the atmosphere,environment",1,วิทยาศาสตร์ธรรมชาติ,1
1040862,"การผลิตแผ่นฉนวนความร้อนจากแกลบและขี้เลื่อยโดยใช้น้ำยางพาราเป็นตัวประสานProduction of thermal insulation board from rice husk and sawdust using natural rubber latex as binderแผ่นฉนวนความร้อน แกลบ ขี้เลื่อย สมบัติเชิงกายภาพ สมบัติเชิงกล สภาพการนำความร้อน,thermal insulation board,physical properties,mechanical properties,thermal conductivity",1,วิทยาศาสตร์ธรรมชาติ,1
1050478,"การศึกษาผลกระทบของ Calcium binding site ของเอนไซม์โปรติเอสลูกผสมทนร้อนจากเชื้อ Thermomonospora curvataThe development of high efficient enzymes under extreme condition as a platform in animal feed industry for food sustainabilityโปรติเอส บริเวณจับแคลเซียม การเปลี่ยนแปลงกรดอมิโน Thermomonospora curvata,Protease, Calcium binding site, mutation, Thermomonospora curvata",1,วิทยาศาสตร์ธรรมชาติ,1
1028907,"การประยุกต์ใช้เทคโนโลยีโลกเสมือนจริงในการวิเคราะห์พื้นที่เพาะปลูกผ่านภาพมุมสูง กรณีศึกษาพื้นที่เทศบาลเมืองเมืองแกนพัฒนา อำเภอแม่แตง จังหวัดเชียงใหม่เทคโนโลยีโลกเสมือนจริง, วิเคราะห์พื้นที่เพาะปลูก,Augmented Reality, analyst farmland",1,วิทยาศาสตร์ธรรมชาติ,1
1036948,"การพัฒนาวิธีการปลูกเพื่อส่งเสริมการเพิ่มผลผลิตและปริมาณสารหอมในข้าวขาวดอกมะลิ 105ข้าวขาวดอกมะลิ 105 ผลผลิตข้าว ปริมาณสารหอม,KDML 105,rice yield,aromatic contents",1,วิทยาศาสตร์ธรรมชาติ,1
1042257,"เทคนิคใกล้เคียงและวิธีที่เหมาะสมที่สุดที่ประยุกต์ใช้ได้กับการประมวลผลภาพดิจิทัล ปัญหาการถดถอย และปัญหาการจำแนกประเภทข้อมูลProximal techniques and optimal methods applied to digital image processing, regression and data classification problemsเทคนิคใกล้เคียง,วิธีที่เหมาะสมที่สุด,การประมวลผลภาพดิจิทัล,ปัญหาการถดถอย,ปัญหาการจำแนกประเภทข้อมูล,Proximal algorithm,Optimal method,Digital image processing,Regression problem,Data classification problem",1,วิทยาศาสตร์ธรรมชาติ,1
1028880,"ผลิตภัณฑ์เนื้อสัตว์สำเร็จรูปเพื่อผู้สูงอายุผลิตภัณฑ์เนื้อสัตว์สำเร็จรูป ผู้สูงอายุ เทคนิคซูวี เอนไซม์โบรมิเลน,Instant meat products, Elderly, Sous vide, Bromelain",1,วิทยาศาสตร์ธรรมชาติ,1
1003699,การศึกษาผลกระทบสิ่งแวดล้อม และการมีส่วนร่วมของชุมชนในการจัดการขยะมูลฝอย หลุมฝังกลบบ้านมอดินแดงของเทศบาลเมืองชัยภูมิผลกระทบสิ่งแวดล้อม : การจัดการขยะมูลฝอย: ขยะมูลฝอย : หลุมฝังกลบขยะ,1,วิทยาศาสตร์ธรรมชาติ,1
1049496,"การศึกษาสมบัติการต้านแบคทีเรียของผ้าไหมย้อมสีธรรมชาติจากแก่นฝางเคลือบด้วยอนุภาคซิลเวอร์นาโนAntimicrobial Study of Natural Brazilin Dyed Silk Coated with Silvernano Particlesสีย้อมธรรมชาติ ฝาง การย้อมผ้า สมบัติการต้านแบคทีเรีย,สีย้อมธรรมชาติ,ฝาง,สมบัติการต้านแบคทีเรีย,natural dye,sappan tree,antimicrobial activity",1,วิทยาศาสตร์ธรรมชาติ,1
